Model,Seed,Test_ROC_AUC,Test_PR_AUC,Test_Macro_F1,Val_ROC_AUC,Gate_Graph,Gate_Text,Gate_Desc,Gate_SEG,Gate_Entropy_Mean,Gate_Min_Mean,Stop_Epoch
ChebNet (TAME),596,0.8036231884057972,0.839098421473474,0.7029057898623117,0.7181947405828002,nan,nan,nan,nan,nan,nan,52
ChebNet (TAME),759,0.8349637681159421,0.877616204289889,0.7541850605358627,0.7261904761904762,nan,nan,nan,nan,nan,nan,41
ChebNet (TAME),932,0.8280797101449275,0.8693622255072956,0.6965277777777779,0.7022032693674485,nan,nan,nan,nan,nan,nan,32
ChebNet (TAME),835,0.8043478260869564,0.8449229055172555,0.7597434855258998,0.7226368159203981,nan,nan,nan,nan,nan,nan,50
ChebNet (TAME),523,0.8329710144927536,0.8755779511848901,0.7527151211361738,0.6998933901918977,nan,nan,nan,nan,nan,nan,26
ChebNet (TAME),385,0.8148550724637681,0.871279951263518,0.703626673599376,0.6961620469083156,nan,nan,nan,nan,nan,nan,25
ChebNet (TAME),412,0.8067028985507246,0.8654977050718105,0.6897016027450811,0.6958066808813077,nan,nan,nan,nan,nan,nan,36
ChebNet (TAME),464,0.8023550724637681,0.8476639056767572,0.6643429313704265,0.7096659559346126,nan,nan,nan,nan,nan,nan,55
ChebNet (TAME),620,0.7961956521739131,0.8520483498819558,0.673548104317335,0.7059346126510305,nan,nan,nan,nan,nan,nan,27
ChebNet (TAME),65,0.8119565217391305,0.856856960523987,0.731211317418214,0.714818763326226,nan,nan,nan,nan,nan,nan,34
ChebNet (TAME),695,0.8327898550724638,0.884785897377437,0.7177718832891247,0.7084221748400853,nan,nan,nan,nan,nan,nan,52
ChebNet (TAME),222,0.7918478260869565,0.8340175655796118,0.7080495896629999,0.7139303482587065,nan,nan,nan,nan,nan,nan,74
ChebNet (TAME),591,0.8128623188405798,0.8562815782330356,0.7338935574229692,0.7052238805970149,nan,nan,nan,nan,nan,nan,50
ChebNet (TAME),893,0.8338768115942029,0.8855965466477304,0.7597892888498683,0.7196162046908314,nan,nan,nan,nan,nan,nan,42
ChebNet (TAME),959,0.8255434782608695,0.8490326628915774,0.7684587813620072,0.7121535181236673,nan,nan,nan,nan,nan,nan,38
ChebNet (TAME),353,0.8340579710144927,0.8890332737376249,0.7518422097692274,0.73045486851457,nan,nan,nan,nan,nan,nan,52
ChebNet (TAME),422,0.8048913043478261,0.8562896942826734,0.6833333333333333,0.6972281449893389,nan,nan,nan,nan,nan,nan,56
ChebNet (TAME),450,0.8019927536231883,0.8542809072100882,0.6842105263157895,0.6844349680170576,nan,nan,nan,nan,nan,nan,34
ChebNet (TAME),856,0.8152173913043478,0.873605043942383,0.7282755613690866,0.6961620469083155,nan,nan,nan,nan,nan,nan,65
ChebNet (TAME),471,0.7996376811594202,0.8515930677418114,0.7337286080043122,0.7229921819474058,nan,nan,nan,nan,nan,nan,46
ChebNet (TAME),672,0.7956521739130435,0.8492942609508175,0.7092679533994088,0.6961620469083155,nan,nan,nan,nan,nan,nan,25
ChebNet (TAME),713,0.8288043478260869,0.8754209002803501,0.6444906444906444,0.6995380241648897,nan,nan,nan,nan,nan,nan,38
ChebNet (TAME),373,0.8139492753623188,0.8713231872652738,0.7446507515473033,0.7169509594882728,nan,nan,nan,nan,nan,nan,44
ChebNet (TAME),342,0.790036231884058,0.8383379051309237,0.6815086432687271,0.6993603411513859,nan,nan,nan,nan,nan,nan,59
ChebNet (TAME),698,0.802355072463768,0.8346465881957721,0.7535579174923437,0.687633262260128,nan,nan,nan,nan,nan,nan,18
ChebNet (TAME),74,0.8326086956521739,0.8539252635463682,0.7675948663299819,0.7068230277185501,nan,nan,nan,nan,nan,nan,31
ChebNet (TAME),636,0.8148550724637681,0.8733588318899688,0.6772823779193206,0.7089552238805971,nan,nan,nan,nan,nan,nan,32
ChebNet (TAME),681,0.8168478260869565,0.8612169997709385,0.7268463730002191,0.7032693674484719,nan,nan,nan,nan,nan,nan,67
